county,lat,long,ID
baraga,46.6354348,-88.3876368,521
barry,42.5910739,-85.3242417,522
bay,43.6957567,-83.9402747,523
benzie,44.6408868,-85.9928452,524
berrien,41.9838614,-86.3985714,525
branch,41.916753,-85.0649374,526
calhoun,42.2461339,-85.0229223,527
cass,41.9090169,-85.9970051,528
charlevoix,45.202075,-84.9676387,529
cheboygan,45.4417481,-84.4768486,530
chippewa,46.3111149,-84.6428564,531
clare,43.9688673,-84.8505091,532
clinton,42.9435238,-84.6125345,533
crawford,44.6769346,-84.6237147,534
delta,46.0236602,-86.8950252,535
dickinson,45.9874631,-87.8864905,536
eaton,42.5935964,-84.8443666,537
emmet,45.5064041,-84.8567966,538
genesee,43.0220032,-83.7274305,539
gladwin,43.9747774,-84.3873235,540
gogebic,46.403433,-89.6626791,541
grand traverse,44.6409162,-85.5801336,542
gratiot,43.2903117,-84.6098023,543
hillsdale,41.8779105,-84.5984396,544
houghton,46.8591287,-88.7774734,545
huron,43.8385749,-83.0221987,546
ingham,42.5860505,-84.3800841,547
ionia,42.9469688,-85.0713945,548
iosco,44.3501989,-83.6582168,549
iron,46.2178577,-88.5463241,550
isabella,43.6306545,-84.8468516,551
jackson,42.2465036,-84.4016963,552
kalamazoo,42.291707,-85.5872286,553
kalkaska,44.6780512,-85.1002509,554
kent,43.0024013,-85.5502718,555
keweenaw,47.3876058,-88.0742387,556
lake,43.85544805,-87.08197544,557
lapeer,43.0904764,-83.2333705,558
leelanau,44.8878795,-85.8119919,559
lenawee,41.8735258,-84.0624323,560
livingston,42.5924563,-83.9147925,561
luce,46.4824144,-85.5556156,562
mackinac,46.085237,-85.0336698,563
macomb,42.6741189,-82.902901,564
manistee,44.3308044,-86.0262043,565
marquette,46.5434914,-87.396433,566
mason,43.9778831,-86.246291,567
mecosta,43.6375503,-85.3168199,568
menominee,45.5785741,-87.562159,569
midland,43.6155825,-84.2472117,570
missaukee,44.295439,-85.09603638,571
monroe,41.9145037,-83.3968252,572
montcalm,43.3055418,-85.112198,573
montmorency,45.0192008,-84.1322903,574
muskegon,43.2341813,-86.2483921,575
newaygo,43.5121225,-85.7944976,576
oakland,42.6618842,-83.3804439,577
oceana,43.6200297,-86.277073,578
ogemaw,44.3364914,-84.125549,579
ontonagon,46.6471877,-89.3293792,580
osceola,43.9654579,-85.3310847,581
oscoda,44.6789109,-84.1467693,582
otsego,45.0244123,-84.6136788,583
ottawa,41.7672695,-83.5213235,584
presque isle,45.3375258,-83.9567881,585
roscommon,44.3326932,-84.6165164,586
saginaw,43.4200387,-83.9490365,587
sanilac,43.4150687,-82.8234745,588
schoolcraft,46.1902943,-86.1833841,589
shiawassee,42.9429488,-84.1458259,590
st clair,42.9426715,-82.6283554,591
st joseph,41.9031963,-85.5356726,592
tuscola,43.4776781,-83.3951071,593
van buren,42.2710763,-86.013973,594
washtenaw,42.2582044,-83.8440853,595
wayne,42.2819655,-83.3839595,596
wexford,44.3353211,-85.5741088,597
aitkin,46.5714822,-93.3847595,598
anoka,45.2710195,-93.2827625,599
becker,46.9298236,-95.6761851,600
beltrami,47.9978537,-94.8799011,601
benton,45.7162129,-94.0481042,602
big stone,45.385266,-96.3557364,603
blue earth,44.0109722,-94.0560643,604
brown,44.2350232,-94.6955051,605
carlton,46.5799933,-92.7206334,606
carver,44.807118,-93.7871792,607
cass,47.0234117,-94.3454604,608
chippewa,45.027661,-95.5314914,609
chisago,45.4758877,-92.8849411,610
clay,46.8994904,-96.5088202,611
clearwater,47.5643825,-95.3747844,612
cook,47.9149076,-90.47301,613
cottonwood,44.019068,-95.1658845,614
crow wing,46.4665237,-94.1017044,615
dakota,44.666655,-93.044911,616
dodge,44.0175404,-92.8678406,617
douglas,45.9340479,-95.4627651,618
faribault,44.2949637,-93.268827,619
fillmore,43.6466588,-92.0636359,620
freeborn,43.6763617,-93.3501681,621
goodhue,44.396973,-92.7175627,622
grant,45.9358795,-96.0272071,623
hennepin,45.0257232,-93.4865052,624
houston,43.6624222,-91.4685617,625
hubbard,47.1138266,-94.9427679,626
isanti,45.5355919,-93.2868693,627
itasca,47.4968343,-93.6225663,628
jackson,43.670011,-95.1500626,629
kanabec,45.8979481,-93.2901944,630
kandiyohi,45.142373,-95.0025846,631
kittson,48.7709208,-96.8074141,632
koochiching,48.221596,-93.7684251,633
lac qui parle,44.986426,-96.2024907,634
lake of the woods,48.7032282,-94.8480091,635
lake,47.6348022,-91.4394994,636
le sueur,44.3771652,-93.711443,637
lincoln,44.4020631,-96.2627763,638
lyon,44.3880733,-95.8287296,639
mahnomen,47.3313602,-95.8142911,640
marshall,44.446929,-95.788351,641
martin,43.6564337,-94.5498419,642
mcleod,44.8169135,-94.2495251,643
meeker,45.1183643,-94.5175345,644
mille lacs,45.9311972,-93.640356,645
morrison,45.9926837,-94.2554658,646
mower,43.6832277,-92.753704,647
murray,44.017855,-95.7615205,648
nicollet,44.3380412,-94.2362169,649
nobles,43.6634212,-95.7527672,650
norman,47.3194344,-96.4625779,651
olmsted,43.999812,-92.3765614,652
otter tail,46.4184196,-95.713142,653
pennington,48.0513335,-96.0829271,654
pine,46.0820957,-92.7542126,655
pipestone,44.0270012,-96.2566582,656
polk,47.6554613,-96.4193484,657
pope,45.5850258,-95.4469471,658
ramsey,45.0165728,-93.0949501,659
red lake,47.8605178,-96.0988343,660
redwood,44.3788613,-95.2532373,661
renville,44.7242874,-94.9084771,662
rice,44.3413376,-93.2865484,663
rock,43.6733632,-96.2574328,664
roseau,48.7710371,-95.7697882,665
scott,44.6506998,-93.5025726,666
sherburne,45.4427088,-93.7459202,667
sibley,44.5603522,-94.2085682,668
st. louis,47.6201005,-92.4363343,669
stearns,45.535326,-94.6139422,670
steele,44.0137336,-93.2203671,671
stevens,45.5837016,-95.9946194,672
swift,45.2797223,-95.6898654,673
todd,46.0588428,-94.887283,674
traverse,45.7836323,-96.4215265,675
wabasha,44.2767596,-92.2018164,676
wadena,46.5850936,-94.9606684,677
waseca,44.0172242,-93.5885717,678
washington,45.0078591,-92.8743564,679
watonwan,43.9736055,-94.6370354,680
wilkin,46.3258354,-96.4586194,681
winona,44.0500054,-91.6392294,682
wright,45.1489061,-93.9639196,683
yellow medicine,44.7198536,-95.8533555,684
adair,40.1769782,-92.6161167,685
andrew,39.9845508,-94.8090258,686
atchison,40.4144817,-95.4359392,687
audrain,39.2226625,-91.8467268,688
barry,36.7033624,-93.8229669,689
barton,37.5040024,-94.3620755,690
bates,38.2612027,-94.3503613,691
benton,38.2930723,-93.3036786,692
bollinger,37.3310468,-90.0296175,693
boone,39.0153926,-92.3307534,694
buchanan,39.6733203,-94.794829,695
butler,36.7151346,-90.4146358,696
caldwell,39.6558966,-93.9997281,697
callaway,38.8491265,-91.9257607,698
camden,38.0323133,-92.7638327,699
cape girardeau,37.3058839,-89.5181476,700
carroll,39.441912,-93.516971,701
carter,36.9303011,-90.9598933,702
cass,38.6585427,-94.3721539,703
cedar,37.7084225,-93.861222,704
chariton,39.5372927,-92.9524728,705
christian,36.9586087,-93.1692896,706
clark,40.3962004,-91.7362195,707
clay,39.3187409,-94.4046405,708
clinton,39.5975986,-94.4184896,709
cole,38.5189519,-92.2956433,710
cooper,38.8452595,-92.8249579,711
crawford,37.9920098,-91.3156445,712
